,name,surface,won,lost,surface_total,total_matches,win_rate
2099,Fernando Maynetto,Clay,7,20,27,35,25.93
2100,Fernando Maynetto,Hard,2,4,6,35,33.33
2101,Fernando Meligeni,Carpet,3,9,12,420,25.0
2102,Fernando Meligeni,Clay,161,131,292,420,55.14
2103,Fernando Meligeni,Grass,1,6,7,420,14.29
2104,Fernando Meligeni,Hard,38,71,109,420,34.86
2105,Fernando Roese,Carpet,4,7,11,67,36.36
2106,Fernando Roese,Clay,1,10,11,67,9.09
2107,Fernando Roese,Hard,19,26,45,67,42.22
2108,Fernando Samayoa,Hard,2,2,4,4,50.0
2109,Fernando Soler,Clay,3,6,9,9,33.33
2110,Fernando Vasquez,Clay,1,1,2,2,50.0
2111,Fernando Verdasco,Carpet,9,8,17,976,52.94
2112,Fernando Verdasco,Clay,230,147,377,976,61.01
2113,Fernando Verdasco,Grass,51,42,93,976,54.84
2114,Fernando Verdasco,Hard,262,227,489,976,53.58
2115,Fernando Vicente,Carpet,2,9,11,372,18.18
2116,Fernando Vicente,Clay,113,128,241,372,46.89
2117,Fernando Vicente,Grass,5,12,17,372,29.41
2118,Fernando Vicente,Hard,39,64,103,372,37.86
2119,Fernon Wibier,Carpet,5,6,11,39,45.45
2120,Fernon Wibier,Clay,1,5,6,39,16.67
2121,Fernon Wibier,Grass,4,7,11,39,36.36
2122,Fernon Wibier,Hard,4,7,11,39,36.36
2123,Ferrante Rocchi,Clay,1,3,4,4,25.0
2124,Filip Dewulf,Carpet,19,24,43,222,44.19
2125,Filip Dewulf,Clay,50,49,99,222,50.51
2126,Filip Dewulf,Grass,3,9,12,222,25.0
2127,Filip Dewulf,Hard,25,43,68,222,36.76
2128,Filip Horansky,Clay,1,5,6,6,16.67
2129,Filip Krajcik,Carpet,1,2,3,3,33.33
2130,Filip Krajinovic,Clay,18,21,39,162,46.15
2131,Filip Krajinovic,Hard,66,57,123,162,53.66
2132,Filip Peliwo,Clay,1,3,4,8,25.0
2133,Filip Peliwo,Hard,1,3,4,8,25.0
2134,Filip Prpic,Hard,2,5,7,7,28.57
2135,Filip Urban,Clay,1,3,4,4,25.0
2136,Filippo Messori,Clay,2,4,6,6,33.33
2137,Filippo Veglio,Hard,1,2,3,3,33.33
2138,Filippo Volandri,Carpet,2,11,13,403,15.38
2139,Filippo Volandri,Clay,165,144,309,403,53.4
2140,Filippo Volandri,Grass,2,11,13,403,15.38
2141,Filippo Volandri,Hard,9,59,68,403,13.24
2142,Finn Christensen,Clay,2,1,3,3,66.67
2143,Finn Tearney,Hard,1,2,3,3,33.33
2144,Flavio Cipolla,Clay,14,25,39,102,35.9
2145,Flavio Cipolla,Grass,1,7,8,102,12.5
2146,Flavio Cipolla,Hard,21,34,55,102,38.18
2147,Flavio Mazzocchi,Carpet,1,1,2,2,50.0
2148,Flavio Saretta,Carpet,2,3,5,157,40.0
2149,Flavio Saretta,Clay,51,47,98,157,52.04
2150,Flavio Saretta,Grass,6,6,12,157,50.0
2151,Flavio Saretta,Hard,18,24,42,157,42.86
2152,Florent Serra,Carpet,1,6,7,293,14.29
2153,Florent Serra,Clay,48,56,104,293,46.15
2154,Florent Serra,Grass,9,17,26,293,34.62
2155,Florent Serra,Hard,65,91,156,293,41.67
2156,Florian Krumrey,Clay,1,1,2,2,50.0
2157,Florian Mayer,Carpet,3,4,7,507,42.86
2158,Florian Mayer,Clay,100,100,200,507,50.0
2159,Florian Mayer,Grass,39,26,65,507,60.0
2160,Florian Mayer,Hard,101,134,235,507,42.98
2161,Florin Mergea,Clay,2,1,3,5,66.67
2162,Florin Mergea,Grass,1,1,2,5,50.0
2163,Florin Segarceanu,Carpet,8,11,19,136,42.11
2164,Florin Segarceanu,Clay,40,46,86,136,46.51
2165,Florin Segarceanu,Grass,1,4,5,136,20.0
2166,Florin Segarceanu,Hard,10,16,26,136,38.46
2167,Fotis Vazeos,Clay,3,2,5,5,60.0
2168,Frances Tiafoe,Clay,10,19,29,164,34.48
2169,Frances Tiafoe,Grass,6,7,13,164,46.15
2170,Frances Tiafoe,Hard,54,68,122,164,44.26
2171,Francesco Aldi,Clay,1,7,8,8,12.5
2172,Francesco Cancellotti,Clay,111,98,209,224,53.11
2173,Francesco Cancellotti,Hard,5,10,15,224,33.33
2174,Francis Casey Alcantara,Clay,4,2,6,9,66.67
2175,Francis Casey Alcantara,Hard,2,1,3,9,66.67
2176,Francisco Cabello,Clay,2,5,7,7,28.57
2177,Francisco Cerundolo,Clay,1,3,4,4,25.0
2178,Francisco Clavet,Carpet,9,20,29,731,31.03
2179,Francisco Clavet,Clay,266,194,460,731,57.83
2180,Francisco Clavet,Grass,11,11,22,731,50.0
2181,Francisco Clavet,Hard,105,115,220,731,47.73
2182,Francisco Costa,Clay,1,3,4,4,25.0
2183,Francisco Ferrer,Clay,1,2,3,3,33.33
2184,Francisco Fogues,Clay,1,2,3,3,33.33
2185,Francisco Gonzalez,Carpet,22,33,55,286,40.0
2186,Francisco Gonzalez,Clay,28,51,79,286,35.44
2187,Francisco Gonzalez,Grass,17,26,43,286,39.53
2188,Francisco Gonzalez,Hard,46,63,109,286,42.2
2189,Francisco Maciel,Clay,36,38,74,104,48.65
2190,Francisco Maciel,Hard,14,16,30,104,46.67
2191,Francisco Montana,Carpet,2,2,4,54,50.0
2192,Francisco Montana,Clay,11,15,26,54,42.31
2193,Francisco Montana,Grass,1,4,5,54,20.0
2194,Francisco Montana,Hard,3,16,19,54,15.79
2195,Francisco Rodriguez,Clay,12,4,16,20,75.0
2196,Francisco Rodriguez,Hard,2,2,4,20,50.0
2197,Francisco Roig,Carpet,5,6,11,160,45.45
2198,Francisco Roig,Clay,43,68,111,160,38.74
2199,Francisco Roig,Grass,1,1,2,160,50.0
2200,Francisco Roig,Hard,15,21,36,160,41.67
2201,Francisco Truchi,Clay,2,5,7,7,28.57
2202,Francisco Yunis,Clay,27,37,64,64,42.19
2203,Franco Bartoni,Clay,4,9,13,13,30.77
2204,Franco Davin,Clay,152,147,299,308,50.84
2205,Franco Davin,Hard,2,7,9,308,22.22
2206,Franco Ferreiro,Clay,3,4,7,7,42.86
2207,Franco Merlone,Carpet,1,2,3,8,33.33
2208,Franco Merlone,Clay,3,2,5,8,60.0
2209,Franco Squillari,Carpet,1,5,6,321,16.67
2210,Franco Squillari,Clay,129,110,239,321,53.97
2211,Franco Squillari,Grass,1,6,7,321,14.29
2212,Franco Squillari,Hard,25,44,69,321,36.23
2213,Francois Jauffret,Carpet,2,3,5,330,40.0
2214,Francois Jauffret,Clay,181,109,290,330,62.41
2215,Francois Jauffret,Grass,9,13,22,330,40.91
2216,Francois Jauffret,Hard,4,9,13,330,30.77
2217,Francois Van Der Merwe,Grass,3,1,4,4,75.0
2218,Frank Arthur Sedgman,Grass,10,8,18,21,55.56
2219,Frank Arthur Sedgman,Hard,2,1,3,21,66.67
2220,Frank Baden,Clay,1,1,2,2,50.0
2221,Frank Briscoe,Hard,1,2,3,3,33.33
2222,Frank Dancevic,Carpet,6,3,9,178,66.67
2223,Frank Dancevic,Clay,1,18,19,178,5.26
2224,Frank Dancevic,Grass,21,23,44,178,47.73
2225,Frank Dancevic,Hard,40,66,106,178,37.74
2226,Frank Falderbaum,Clay,4,5,9,11,44.44
2227,Frank Falderbaum,Hard,1,1,2,11,50.0
2228,Frank Froehling,Carpet,7,25,32,186,21.88
2229,Frank Froehling,Clay,30,31,61,186,49.18
2230,Frank Froehling,Grass,5,8,13,186,38.46
2231,Frank Froehling,Hard,36,44,80,186,45.0
2232,Frank Gebert,Carpet,6,8,14,108,42.86
2233,Frank Gebert,Clay,26,46,72,108,36.11
2234,Frank Gebert,Grass,4,5,9,108,44.44
2235,Frank Gebert,Hard,4,9,13,108,30.77
2236,Frank McDonald,Hard,1,5,6,6,16.67
2237,Frank Ofori,Carpet,1,3,4,34,25.0
2238,Frank Ofori,Clay,1,4,5,34,20.0
2239,Frank Ofori,Hard,19,6,25,34,76.0
2240,Frank Saloman,Hard,1,1,2,2,50.0
2241,Frank Schmitz,Hard,1,1,2,2,50.0
2242,Frank Sebaratnam,Clay,2,3,5,5,40.0
2243,Frank Sedgman,Clay,3,5,8,25,37.5
2244,Frank Sedgman,Grass,5,8,13,25,38.46
2245,Frank Sedgman,Hard,1,3,4,25,25.0
2246,Frank Tutvin,Clay,1,5,6,6,16.67
2247,Franklin Robbins,Carpet,1,1,2,20,50.0
2248,Franklin Robbins,Clay,1,9,10,20,10.0
2249,Franklin Robbins,Grass,4,4,8,20,50.0
2250,Franko Skugor,Clay,4,11,15,28,26.67
2251,Franko Skugor,Hard,4,9,13,28,30.77
2252,Frantisek Cermak,Clay,8,11,19,21,42.11
2253,Frantisek Cermak,Grass,1,1,2,21,50.0
2254,Frantisek Pala,Carpet,4,16,20,193,20.0
2255,Frantisek Pala,Clay,62,79,141,193,43.97
2256,Frantisek Pala,Grass,3,9,12,193,25.0
2257,Frantisek Pala,Hard,6,14,20,193,30.0
2258,Fred Hemmes,Clay,1,5,6,16,16.67
2259,Fred Hemmes,Hard,4,6,10,16,40.0
2260,Fred Kangwa,Clay,3,3,6,8,50.0
2261,Fred Kangwa,Hard,1,1,2,8,50.0
2262,Fred Mcnair,Carpet,19,39,58,221,32.76
2263,Fred Mcnair,Clay,25,58,83,221,30.12
2264,Fred Mcnair,Grass,14,21,35,221,40.0
2265,Fred Mcnair,Hard,9,36,45,221,20.0
2266,Fred Stolle,Carpet,19,32,51,254,37.25
2267,Fred Stolle,Clay,36,28,64,254,56.25
2268,Fred Stolle,Grass,44,21,65,254,67.69
2269,Fred Stolle,Hard,36,38,74,254,48.65
2270,Freddie De Jesus,Hard,2,4,6,6,33.33
2271,Freddie Sauer,Carpet,3,2,5,55,60.0
2272,Freddie Sauer,Clay,7,14,21,55,33.33
2273,Freddie Sauer,Grass,1,3,4,55,25.0
2274,Freddie Sauer,Hard,13,12,25,55,52.0
2275,Frederic Fontang,Carpet,1,5,6,87,16.67
2276,Frederic Fontang,Clay,25,46,71,87,35.21
2277,Frederic Fontang,Hard,2,8,10,87,20.0
2278,Frederic Niemeyer,Carpet,4,1,5,45,80.0
2279,Frederic Niemeyer,Clay,4,7,11,45,36.36
2280,Frederic Niemeyer,Grass,1,2,3,45,33.33
2281,Frederic Niemeyer,Hard,4,22,26,45,15.38
2282,Frederic Vitoux,Clay,1,5,6,11,16.67
2283,Frederic Vitoux,Hard,1,4,5,11,20.0
2284,Frederick Sletting Johnsen,Hard,1,2,3,3,33.33
2285,Frederick Ted Schroeder,Hard,1,1,2,2,50.0
2286,Frederico Ferreira Silva,Clay,2,4,6,11,33.33
2287,Frederico Ferreira Silva,Hard,1,4,5,11,20.0
2288,Frederico Gil,Carpet,1,1,2,143,50.0
2289,Frederico Gil,Clay,46,38,84,143,54.76
2290,Frederico Gil,Grass,1,7,8,143,12.5
2291,Frederico Gil,Hard,19,30,49,143,38.78
2292,Frederik Fetterlein,Carpet,14,24,38,110,36.84
2293,Frederik Fetterlein,Clay,11,27,38,110,28.95
2294,Frederik Fetterlein,Grass,4,5,9,110,44.44
2295,Frederik Fetterlein,Hard,12,13,25,110,48.0
2296,Frederik Nielsen,Carpet,4,2,6,49,66.67
2297,Frederik Nielsen,Clay,3,7,10,49,30.0
2298,Frederik Nielsen,Hard,15,18,33,49,45.45
2299,Fredrik Jonsson,Carpet,1,1,2,34,50.0
2300,Fredrik Jonsson,Clay,1,9,10,34,10.0
2301,Fredrik Jonsson,Hard,6,16,22,34,27.27
2302,Fredrik Rosenquist,Clay,1,3,4,4,25.0
2303,Frew Mcmillan,Carpet,43,60,103,403,41.75
2304,Frew Mcmillan,Clay,44,63,107,403,41.12
2305,Frew Mcmillan,Grass,32,33,65,403,49.23
2306,Frew Mcmillan,Hard,54,74,128,403,42.19
2307,Frithjof Prydz,Clay,2,7,9,9,22.22
2308,Fritz Buehning,Carpet,41,43,84,235,48.81
2309,Fritz Buehning,Clay,5,12,17,235,29.41
2310,Fritz Buehning,Grass,22,18,40,235,55.0
2311,Fritz Buehning,Hard,46,48,94,235,48.94
2312,Fritz Wolmarans,Clay,1,1,2,8,50.0
2313,Fritz Wolmarans,Hard,3,3,6,8,50.0
2314,G Turner Howard,Clay,4,5,9,16,44.44
2315,G Turner Howard,Hard,1,6,7,16,14.29
2316,Gabor Borsos,Hard,1,2,3,3,33.33
2317,Gabriel Auroux,Clay,1,1,2,2,50.0
2318,Gabriel Flores Ruiz,Hard,1,4,5,5,20.0
2319,Gabriel Markus,Carpet,2,5,7,130,28.57
2320,Gabriel Markus,Clay,47,48,95,130,49.47
2321,Gabriel Markus,Hard,10,18,28,130,35.71
2322,Gabriel Mattos,Clay,1,2,3,3,33.33
2323,Gabriel Monroy,Clay,1,1,2,2,50.0
2324,Gabriel Montilla,Hard,2,2,4,4,50.0
2325,Gabriel Silberstein,Clay,10,11,21,23,47.62
2326,Gabriel Silberstein,Hard,1,1,2,23,50.0
2327,Gabriel Trifu,Clay,4,8,12,12,33.33
2328,Gabriel Trujillo Soler,Clay,1,1,2,2,50.0
2329,Gabriel Urpi,Clay,42,65,107,110,39.25
2330,Gabriel Urpi,Hard,1,2,3,110,33.33
2331,Gael Monfils,Carpet,6,4,10,778,60.0
2332,Gael Monfils,Clay,128,84,212,778,60.38
2333,Gael Monfils,Grass,40,29,69,778,57.97
2334,Gael Monfils,Hard,319,168,487,778,65.5
2335,Gaetano Di Maso,Clay,2,3,5,5,40.0
2336,Galo Blanco,Clay,111,126,237,293,46.84
2337,Galo Blanco,Grass,1,6,7,293,14.29
2338,Galo Blanco,Hard,10,39,49,293,20.41
2339,Garth Thomson,Hard,2,2,4,4,50.0
2340,Gary Donnelly,Hard,13,20,33,33,39.39
2341,Gary Drake,Grass,1,1,2,2,50.0
2342,Gary Lemon,Hard,1,1,2,2,50.0
2343,Gary Muller,Carpet,10,14,24,203,41.67
2344,Gary Muller,Clay,4,6,10,203,40.0
2345,Gary Muller,Grass,18,24,42,203,42.86
2346,Gary Muller,Hard,53,74,127,203,41.73
2347,Gary Penberthy,Grass,1,2,3,3,33.33
2348,Gary Thoroughood,Hard,1,1,2,2,50.0
2349,Gastao Elias,Clay,23,29,52,78,44.23
2350,Gastao Elias,Hard,4,22,26,78,15.38
2351,Gaston Etlis,Carpet,2,2,4,85,50.0
2352,Gaston Etlis,Clay,14,36,50,85,28.0
2353,Gaston Etlis,Hard,14,17,31,85,45.16
2354,Gaston Gaudio,Carpet,10,15,25,468,40.0
2355,Gaston Gaudio,Clay,212,109,321,468,66.04
2356,Gaston Gaudio,Grass,2,6,8,468,25.0
2357,Gaston Gaudio,Hard,48,66,114,468,42.11
2358,Gaurav Misra,Clay,2,2,4,4,50.0
2359,Gavaskar Williams,Hard,1,3,4,4,25.0
2360,Gavorielle Marcu,Hard,1,7,8,8,12.5
2361,Gd Jones,Hard,7,1,8,8,87.5
2362,Gehad El Deeb,Hard,1,1,2,2,50.0
2363,Genaro Deleon,Clay,7,11,18,23,38.89
2364,Genaro Deleon,Hard,2,3,5,23,40.0
2365,Gene Mayer,Carpet,105,53,158,475,66.46
2366,Gene Mayer,Clay,80,52,132,475,60.61
2367,Gene Mayer,Grass,15,13,28,475,53.57
2368,Gene Mayer,Hard,116,41,157,475,73.89
2369,Gene Scott,Grass,19,17,36,48,52.78
2370,Gene Scott,Hard,4,8,12,48,33.33
2371,Gene Stuart Malin,Carpet,1,8,9,41,11.11
2372,Gene Stuart Malin,Clay,1,3,4,41,25.0
2373,Gene Stuart Malin,Grass,1,2,3,41,33.33
2374,Gene Stuart Malin,Hard,8,17,25,41,32.0
2375,Genius Chidzikwe,Clay,1,5,6,18,16.67
2376,Genius Chidzikwe,Hard,2,10,12,18,16.67
2377,Geoff Bluett,Grass,1,1,2,2,50.0
2378,Geoff Grant,Clay,1,2,3,26,33.33
2379,Geoff Grant,Hard,7,16,23,26,30.43
2380,Geoff Masters,Carpet,36,53,89,468,40.45
2381,Geoff Masters,Clay,62,61,123,468,50.41
2382,Geoff Masters,Grass,57,59,116,468,49.14
2383,Geoff Masters,Hard,70,70,140,468,50.0
2384,Geoff Pollard,Grass,2,3,5,5,40.0
2385,Geoff Stubbs,Grass,1,1,2,2,50.0
2386,Geoffery Newton,Hard,1,1,2,2,50.0
2387,George Amaya,Clay,3,4,7,16,42.86
2388,George Amaya,Grass,2,1,3,16,66.67
2389,George Amaya,Hard,1,5,6,16,16.67
2390,George Bastl,Carpet,6,12,18,143,33.33
2391,George Bastl,Clay,4,14,18,143,22.22
2392,George Bastl,Grass,3,13,16,143,18.75
2393,George Bastl,Hard,37,54,91,143,40.66
2394,George Berner,Clay,2,4,6,6,33.33
2395,George Bezecny,Clay,2,5,7,7,28.57
2396,George Cosac,Carpet,1,2,3,10,33.33
2397,George Cosac,Clay,1,6,7,10,14.29
2398,George Hardie,Carpet,18,28,46,220,39.13
2399,George Hardie,Clay,21,50,71,220,29.58
2400,George Hardie,Grass,11,24,35,220,31.43
2401,George Hardie,Hard,26,42,68,220,38.24
2402,George Kalovelonis,Clay,19,31,50,50,38.0
2403,George Rudman,Hard,3,8,11,11,27.27
2404,George Taylor,Grass,1,5,6,12,16.67
2405,George Taylor,Hard,1,5,6,12,16.67
2406,Georges Goven,Carpet,11,13,24,411,45.83
2407,Georges Goven,Clay,122,148,270,411,45.19
2408,Georges Goven,Grass,21,24,45,411,46.67
2409,Georges Goven,Hard,34,38,72,411,47.22
2410,Gerald Battrick,Carpet,18,34,52,302,34.62
2411,Gerald Battrick,Clay,58,73,131,302,44.27
2412,Gerald Battrick,Grass,18,22,40,302,45.0
2413,Gerald Battrick,Hard,37,42,79,302,46.84
2414,Gerald Mandl,Clay,3,5,8,8,37.5
2415,Gerald Marzenell,Clay,1,1,2,2,50.0
2416,Gerald Melzer,Clay,16,21,37,52,43.24
2417,Gerald Melzer,Hard,2,13,15,52,13.33
2418,Gerald Mild,Clay,2,3,5,5,40.0
2419,Gerald Pilet,Clay,1,1,2,2,50.0
2420,Gerard Solves,Carpet,2,2,4,56,50.0
2421,Gerard Solves,Clay,12,29,41,56,29.27
2422,Gerard Solves,Hard,7,4,11,56,63.64
2423,Gerard Toulon,Clay,2,3,5,5,40.0
2424,Gerard Wimmer,Grass,2,2,4,4,50.0
2425,Gerardo Lopez Villasenor,Clay,2,2,4,7,50.0
2426,Gerardo Lopez Villasenor,Hard,1,2,3,7,33.33
2427,Gerardo Mirad,Clay,1,1,2,2,50.0
2428,Gerardo Vacarezza,Clay,2,1,3,3,66.67
2429,Gergely Kisgyorgy,Carpet,1,5,6,15,16.67
2430,Gergely Kisgyorgy,Hard,5,4,9,15,55.56
2431,German Lopez,Clay,29,33,62,75,46.77
2432,German Lopez,Hard,3,10,13,75,23.08
2433,German Puentes,Clay,11,22,33,41,33.33
2434,German Puentes,Grass,1,1,2,41,50.0
2435,German Puentes,Hard,1,5,6,41,16.67
2436,Gerry Perry,Grass,1,2,3,3,33.33
2437,Geza Varga,Clay,6,14,20,29,30.0
2438,Geza Varga,Hard,5,4,9,29,55.56
2439,Gian Marco Moroni,Clay,1,1,2,2,50.0
2440,Gianluca Mager,Clay,5,7,12,20,41.67
2441,Gianluca Mager,Hard,3,5,8,20,37.5
2442,Gianluca Naso,Clay,3,11,14,14,21.43
2443,Gianluca Pozzi,Carpet,31,40,71,434,43.66
2444,Gianluca Pozzi,Clay,6,35,41,434,14.63
2445,Gianluca Pozzi,Grass,32,36,68,434,47.06
2446,Gianluca Pozzi,Hard,106,148,254,434,41.73
2447,Gianluca Rinaldini,Carpet,2,5,7,33,28.57
2448,Gianluca Rinaldini,Clay,7,19,26,33,26.92
2449,Gianluigi Quinzi,Clay,1,1,2,2,50.0
2450,Gianni Marchetti,Carpet,1,2,3,3,33.33
2451,Gianni Mina,Clay,1,4,5,5,20.0
2452,Gianni Ocleppo,Carpet,26,23,49,231,53.06
2453,Gianni Ocleppo,Clay,46,69,115,231,40.0
2454,Gianni Ocleppo,Grass,5,9,14,231,35.71
2455,Gianni Ocleppo,Hard,26,27,53,231,49.06
2456,Gil Kovalski,Hard,1,2,3,3,33.33
2457,Gilad Bloom,Carpet,9,14,23,215,39.13
2458,Gilad Bloom,Clay,10,30,40,215,25.0
2459,Gilad Bloom,Grass,10,12,22,215,45.45
2460,Gilad Bloom,Hard,64,66,130,215,49.23
2461,Gilbert Schaller,Carpet,2,6,8,245,25.0
2462,Gilbert Schaller,Clay,103,96,199,245,51.76
2463,Gilbert Schaller,Hard,10,28,38,245,26.32
2464,Gilles Bastie,Hard,1,2,3,3,33.33
2465,Gilles Elseneer,Carpet,4,3,7,42,57.14
2466,Gilles Elseneer,Clay,1,2,3,42,33.33
2467,Gilles Elseneer,Grass,9,11,20,42,45.0
2468,Gilles Elseneer,Hard,4,8,12,42,33.33
2469,Gilles Ganancia,Clay,10,8,18,20,55.56
2470,Gilles Ganancia,Hard,1,1,2,20,50.0
2471,Gilles Kremer,Clay,1,6,7,25,14.29
2472,Gilles Kremer,Hard,7,11,18,25,38.89
2473,Gilles Moretton,Carpet,2,8,10,152,20.0
2474,Gilles Moretton,Clay,35,51,86,152,40.7
2475,Gilles Moretton,Grass,4,10,14,152,28.57
2476,Gilles Moretton,Hard,18,24,42,152,42.86
2477,Gilles Muller,Carpet,3,6,9,443,33.33
2478,Gilles Muller,Clay,27,32,59,443,45.76
2479,Gilles Muller,Grass,45,36,81,443,55.56
2480,Gilles Muller,Hard,155,139,294,443,52.72
2481,Gilles Simon,Carpet,4,7,11,871,36.36
2482,Gilles Simon,Clay,146,112,258,871,56.59
2483,Gilles Simon,Grass,52,38,90,871,57.78
2484,Gilles Simon,Hard,295,217,512,871,57.62
2485,Giordano Maioli,Clay,5,4,9,9,55.56
2486,Giorgio Carneade,Clay,1,4,5,5,20.0
2487,Giorgio Galimberti,Clay,6,12,18,27,33.33
2488,Giorgio Galimberti,Hard,3,6,9,27,33.33
2489,Giovanni Capozza,Clay,1,1,2,2,50.0
2490,Giovanni Lapentti,Clay,6,19,25,55,24.0
2491,Giovanni Lapentti,Grass,2,4,6,55,33.33
2492,Giovanni Lapentti,Hard,11,13,24,55,45.83
2493,Girts Dzelde,Carpet,5,5,10,37,50.0
2494,Girts Dzelde,Clay,9,11,20,37,45.0
2495,Girts Dzelde,Hard,2,5,7,37,28.57
2496,Giuseppe Merlo,Clay,4,9,13,13,30.77
2497,Givaldo Barbosa,Carpet,1,5,6,51,16.67
2498,Givaldo Barbosa,Clay,6,24,30,51,20.0
2499,Givaldo Barbosa,Hard,6,9,15,51,40.0
2500,Givi Samkharadze,Clay,1,3,4,4,25.0
2501,Gleb Sakharov,Clay,1,1,2,2,50.0
2502,Glen Holroyd,Carpet,1,2,3,22,33.33
2503,Glen Holroyd,Clay,2,4,6,22,33.33
2504,Glen Holroyd,Grass,1,4,5,22,20.0
2505,Glen Holroyd,Hard,1,7,8,22,12.5
2506,Glenn Layendecker,Carpet,14,21,35,181,40.0
2507,Glenn Layendecker,Clay,3,9,12,181,25.0
2508,Glenn Layendecker,Grass,19,24,43,181,44.19
2509,Glenn Layendecker,Hard,41,50,91,181,45.05
2510,Glenn Michibata,Carpet,15,23,38,195,39.47
2511,Glenn Michibata,Clay,5,12,17,195,29.41
2512,Glenn Michibata,Grass,9,16,25,195,36.0
2513,Glenn Michibata,Hard,45,70,115,195,39.13
2514,Glenn Petrovic,Grass,1,1,2,10,50.0
2515,Glenn Petrovic,Hard,1,7,8,10,12.5
2516,Glenn Weiner,Grass,2,3,5,38,40.0
2517,Glenn Weiner,Hard,11,22,33,38,33.33
2518,Go Soeda,Carpet,9,3,12,146,75.0
2519,Go Soeda,Clay,4,9,13,146,30.77
2520,Go Soeda,Grass,4,13,17,146,23.53
2521,Go Soeda,Hard,38,66,104,146,36.54
2522,Gondo Widjojo,Hard,2,2,4,4,50.0
2523,Gonzales Austin,Hard,1,1,2,2,50.0
2524,Gonzalo Escobar,Clay,1,4,5,5,20.0
2525,Gonzalo Lama,Clay,7,2,9,9,77.78
2526,Goran Ivanisevic,Carpet,192,75,267,937,71.91
2527,Goran Ivanisevic,Clay,141,87,228,937,61.84
2528,Goran Ivanisevic,Grass,71,28,99,937,71.72
2529,Goran Ivanisevic,Hard,200,143,343,937,58.31
2530,Goran Prpic,Carpet,16,25,41,247,39.02
2531,Goran Prpic,Clay,96,76,172,247,55.81
2532,Goran Prpic,Grass,1,5,6,247,16.67
2533,Goran Prpic,Hard,13,15,28,247,46.43
2534,Goran Tosic,Clay,1,3,4,4,25.0
2535,Gordon Asciak,Hard,1,7,8,8,12.5
2536,Gordon Jones,Carpet,1,1,2,2,50.0
2537,Gorka Fraile,Clay,1,7,8,8,12.5
2538,Goudjo Gbedey,Hard,5,1,6,6,83.33
2539,Gouichi Motomura,Carpet,9,6,15,76,60.0
2540,Gouichi Motomura,Clay,2,4,6,76,33.33
2541,Gouichi Motomura,Grass,2,4,6,76,33.33
2542,Gouichi Motomura,Hard,18,31,49,76,36.73
2543,Graeme Thomson,Carpet,1,1,2,22,50.0
2544,Graeme Thomson,Clay,1,2,3,22,33.33
2545,Graeme Thomson,Grass,5,12,17,22,29.41
2546,Graham Oliver,Grass,1,2,3,3,33.33
2547,Graham Stilwell,Carpet,19,46,65,245,29.23
2548,Graham Stilwell,Clay,25,49,74,245,33.78
2549,Graham Stilwell,Grass,24,25,49,245,48.98
2550,Graham Stilwell,Hard,17,40,57,245,29.82
2551,Grant Connell,Carpet,13,15,28,172,46.43
2552,Grant Connell,Grass,7,12,19,172,36.84
2553,Grant Connell,Hard,55,70,125,172,44.0
2554,Grant Doyle,Hard,4,18,22,22,18.18
2555,Grant Stafford,Carpet,3,12,15,201,20.0
2556,Grant Stafford,Clay,7,14,21,201,33.33
2557,Grant Stafford,Grass,20,20,40,201,50.0
2558,Grant Stafford,Hard,53,72,125,201,42.4
2559,Graydon Garner,Clay,1,2,3,19,33.33
2560,Graydon Garner,Grass,3,2,5,19,60.0
2561,Graydon Garner,Hard,3,8,11,19,27.27
2562,Greg Amaya,Clay,1,2,3,3,33.33
2563,Greg Cooper,Grass,3,2,5,5,60.0
2564,Greg Failla,Hard,1,4,5,5,20.0
2565,Greg Halder,Clay,6,11,17,27,35.29
2566,Greg Halder,Hard,2,8,10,27,20.0
2567,Greg Holmes,Carpet,11,19,30,176,36.67
2568,Greg Holmes,Clay,1,8,9,176,11.11
2569,Greg Holmes,Grass,11,16,27,176,40.74
2570,Greg Holmes,Hard,60,50,110,176,54.55
2571,Greg Jones,Hard,1,5,6,6,16.67
2572,Greg Perkins,Grass,7,11,18,26,38.89
2573,Greg Perkins,Hard,2,6,8,26,25.0
2574,Greg Rusedski,Carpet,91,43,134,728,67.91
2575,Greg Rusedski,Clay,30,51,81,728,37.04
2576,Greg Rusedski,Grass,86,36,122,728,70.49
2577,Greg Rusedski,Hard,231,160,391,728,59.08
2578,Greg Van Emburgh,Hard,2,1,3,3,66.67
2579,Greg Whitecross,Carpet,2,3,5,34,40.0
2580,Greg Whitecross,Grass,8,21,29,34,27.59
2581,Grega Zemlja,Carpet,4,1,5,97,80.0
2582,Grega Zemlja,Clay,14,14,28,97,50.0
2583,Grega Zemlja,Grass,8,7,15,97,53.33
2584,Grega Zemlja,Hard,20,29,49,97,40.82
2585,Gregoire Barrere,Clay,1,5,6,34,16.67
2586,Gregoire Barrere,Grass,1,2,3,34,33.33
2587,Gregoire Barrere,Hard,9,16,25,34,36.0
2588,Gregoire Rafaitin,Clay,3,9,12,14,25.0
2589,Gregoire Rafaitin,Hard,1,1,2,14,50.0
2590,Gregory Carraz,Carpet,5,6,11,85,45.45
2591,Gregory Carraz,Grass,6,9,15,85,40.0
2592,Gregory Carraz,Hard,24,35,59,85,40.68
