,name,surface,winner_id,won,loser_id,lost,surface_total,total_matches,win_rate
66,Agustin Moreno,Carpet,101339,1,101339,2,3,24,33.33
67,Agustin Moreno,Clay,101339,5,101339,9,14,24,35.71
68,Agustin Moreno,Hard,101339,1,101339,6,7,24,14.29
69,Ahmad Rabeea Muhammad,Clay,108925,1,108925,1,2,14,50.0
70,Ahmad Rabeea Muhammad,Hard,108925,3,108925,9,12,14,25.0
71,Ahmed Ben Omar,Clay,111053,1,111053,2,3,3,33.33
72,Ahmed El Mehelmy,Clay,100796,14,100796,17,31,36,45.16
73,Ahmed El Mehelmy,Hard,100796,2,100796,3,5,36,40.0
74,Aisam Ul Haq Qureshi,Clay,103529,7,103529,6,13,71,53.85
75,Aisam Ul Haq Qureshi,Grass,103529,19,103529,13,32,71,59.38
76,Aisam Ul Haq Qureshi,Hard,103529,13,103529,13,26,71,50.0
77,Aivaras Balzekas,Carpet,103974,1,103974,1,2,2,50.0
78,Ajeet Rai,Hard,208055,1,208055,2,3,3,33.33
79,Aki Rahunen,Carpet,102000,11,102000,11,22,79,50.0
80,Aki Rahunen,Clay,102000,14,102000,16,30,79,46.67
81,Aki Rahunen,Grass,102000,2,102000,3,5,79,40.0
82,Aki Rahunen,Hard,102000,6,102000,16,22,79,27.27
83,Akinori Naguro,Clay,106453,2,106453,4,6,6,33.33
84,Akira Santillan,Grass,117361,1,117361,1,2,7,50.0
85,Akira Santillan,Hard,117361,1,117361,4,5,7,20.0
86,Al Parker,Hard,101550,1,101550,7,8,8,12.5
87,Alaaddin Karagoz,Clay,101121,6,101121,7,13,17,46.15
88,Alaaddin Karagoz,Hard,101121,2,101121,2,4,17,50.0
89,Alain Brichant,Hard,106458,1,106458,3,4,4,25.0
90,Alan Fox,Clay,109777,2,109777,2,4,20,50.0
91,Alan Fox,Grass,109777,4,109777,4,8,20,50.0
92,Alan Fox,Hard,109777,3,109777,5,8,20,37.5
93,Alan Mackin,Grass,103820,1,103820,6,7,7,14.29
94,Alan Schwarz,Hard,209561,1,209561,1,2,2,50.0
95,Albano Olivetti,Hard,105874,5,105874,6,11,11,45.45
96,Albert Chang,Carpet,101865,4,101865,5,9,23,44.44
97,Albert Chang,Hard,101865,3,101865,11,14,23,21.43
98,Albert Costa,Carpet,102610,8,102610,23,31,662,25.81
99,Albert Costa,Clay,102610,274,102610,138,412,662,66.5
100,Albert Costa,Grass,102610,2,102610,7,9,662,22.22
101,Albert Costa,Hard,102610,104,102610,106,210,662,49.52
102,Albert Gaertner,Hard,117302,1,117302,1,2,2,50.0
103,Albert Montanes,Clay,103656,213,103656,186,399,542,53.38
104,Albert Montanes,Grass,103656,6,103656,13,19,542,31.58
105,Albert Montanes,Hard,103656,38,103656,86,124,542,30.65
106,Albert Portas,Carpet,102287,1,102287,8,9,340,11.11
107,Albert Portas,Clay,102287,127,102287,141,268,340,47.39
108,Albert Portas,Grass,102287,3,102287,11,14,340,21.43
109,Albert Portas,Hard,102287,11,102287,38,49,340,22.45
110,Albert Ramos,Clay,105077,152,105077,127,279,470,54.48
111,Albert Ramos,Grass,105077,6,105077,12,18,470,33.33
112,Albert Ramos,Hard,105077,65,105077,108,173,470,37.57
113,Albert Viviani,Clay,110922,1,110922,3,4,4,25.0
114,Alberto Berasategui,Carpet,102238,7,102238,18,25,476,28.0
115,Alberto Berasategui,Clay,102238,239,102238,130,369,476,64.77
116,Alberto Berasategui,Hard,102238,33,102238,49,82,476,40.24
117,Alberto Brause,Clay,102647,1,102647,1,2,2,50.0
118,Alberto Lim,Hard,202165,2,202165,3,5,5,40.0
119,Alberto Mancini,Carpet,101606,4,101606,7,11,276,36.36
120,Alberto Mancini,Clay,101606,117,101606,82,199,276,58.79
121,Alberto Mancini,Grass,101606,1,101606,2,3,276,33.33
122,Alberto Mancini,Hard,101606,28,101606,35,63,276,44.44
123,Alberto Martin,Carpet,103252,1,103252,5,6,488,16.67
124,Alberto Martin,Clay,103252,157,103252,147,304,488,51.64
125,Alberto Martin,Grass,103252,8,103252,17,25,488,32.0
126,Alberto Martin,Hard,103252,53,103252,100,153,488,34.64
127,Alberto Martorell,Clay,106468,1,106468,6,7,7,14.29
128,Alberto Paris,Clay,101122,1,101122,3,4,4,25.0
129,Alberto Riba,Clay,209732,2,209732,1,3,3,66.67
130,Alberto Tous,Carpet,100848,1,100848,3,4,101,25.0
131,Alberto Tous,Clay,100848,39,100848,52,91,101,42.86
132,Alberto Tous,Hard,100848,1,100848,5,6,101,16.67
133,Aldin Setkic,Clay,105060,6,105060,4,10,15,60.0
134,Aldin Setkic,Hard,105060,2,105060,3,5,15,40.0
135,Alejandro Aramburu,Clay,101574,3,101574,11,14,16,21.43
136,Alejandro Aramburu,Hard,101574,1,101574,1,2,16,50.0
137,Alejandro Aramburu Acuna,Clay,108686,11,108686,12,23,26,47.83
138,Alejandro Aramburu Acuna,Hard,108686,1,108686,2,3,26,33.33
139,Alejandro Cortes,Clay,100384,19,100384,26,45,58,42.22
140,Alejandro Cortes,Hard,100384,5,100384,8,13,58,38.46
141,Alejandro Davidovich Fokina,Clay,200221,5,200221,10,15,35,33.33
142,Alejandro Davidovich Fokina,Hard,200221,13,200221,7,20,35,65.0
143,Alejandro Falla,Carpet,104268,3,104268,3,6,283,50.0
144,Alejandro Falla,Clay,104268,30,104268,40,70,283,42.86
145,Alejandro Falla,Grass,104268,16,104268,25,41,283,39.02
146,Alejandro Falla,Hard,104268,65,104268,101,166,283,39.16
147,Alejandro Ganzabal,Clay,100651,44,100651,63,107,114,41.12
148,Alejandro Ganzabal,Hard,100651,2,100651,5,7,114,28.57
149,Alejandro Gattiker,Carpet,100538,1,100538,2,3,26,33.33
150,Alejandro Gattiker,Clay,100538,3,100538,20,23,26,13.04
151,Alejandro Gomez Gb42,Hard,105826,1,105826,1,2,2,50.0
152,Alejandro Gonzalez,Clay,105292,7,105292,18,25,58,28.0
153,Alejandro Gonzalez,Hard,105292,11,105292,22,33,58,33.33
154,Alejandro Hernandez,Carpet,103060,3,103060,4,7,75,42.86
155,Alejandro Hernandez,Clay,103060,21,103060,19,40,75,52.5
156,Alejandro Hernandez,Hard,103060,13,103060,15,28,75,46.43
157,Alejandro Olivera,Hard,102938,1,102938,3,4,4,25.0
158,Alejandro Olmedo,Carpet,100020,1,100020,2,3,83,33.33
159,Alejandro Olmedo,Clay,100020,3,100020,8,11,83,27.27
160,Alejandro Olmedo,Grass,100020,13,100020,11,24,83,54.17
161,Alejandro Olmedo,Hard,100020,23,100020,22,45,83,51.11
162,Alejandro Pierola,Carpet,100197,1,100197,4,5,63,20.0
163,Alejandro Pierola,Clay,100197,16,100197,42,58,63,27.59
164,Alejandro Tabilo,Clay,126214,1,126214,1,2,6,50.0
165,Alejandro Tabilo,Hard,126214,2,126214,2,4,6,50.0
166,Alejo Mancisidor,Clay,101780,3,101780,19,22,26,13.64
167,Alejo Mancisidor,Hard,101780,2,101780,2,4,26,50.0
168,Aleksandar Vukic,Hard,126846,1,126846,3,4,4,25.0
169,Aleksandr Nedovyesov,Clay,104873,2,104873,8,10,32,20.0
170,Aleksandr Nedovyesov,Grass,104873,1,104873,4,5,32,20.0
171,Aleksandr Nedovyesov,Hard,104873,3,104873,14,17,32,17.65
172,Aleksandre Metreveli,Clay,106223,1,106223,1,2,6,50.0
173,Aleksandre Metreveli,Hard,106223,1,106223,3,4,6,25.0
174,Alen Avidzba,Hard,200553,1,200553,1,2,2,50.0
175,Alessandro De Minicis,Clay,100951,9,100951,14,23,23,39.13
176,Alessandro Giannessi,Clay,105561,10,105561,13,23,31,43.48
177,Alessandro Giannessi,Hard,105561,2,105561,6,8,31,25.0
178,Alessio Di Mauro,Clay,103035,15,103035,31,46,53,32.61
179,Alessio Di Mauro,Grass,103035,1,103035,2,3,53,33.33
180,Alessio Di Mauro,Hard,103035,1,103035,3,4,53,25.0
181,Alex Antonitsch,Carpet,101233,19,101233,35,54,251,35.19
182,Alex Antonitsch,Clay,101233,19,101233,30,49,251,38.78
183,Alex Antonitsch,Grass,101233,18,101233,17,35,251,51.43
184,Alex Antonitsch,Hard,101233,51,101233,62,113,251,45.13
185,Alex Bogdanovic,Clay,104372,1,104372,3,4,47,25.0
186,Alex Bogdanovic,Grass,104372,9,104372,26,35,47,25.71
187,Alex Bogdanovic,Hard,104372,1,104372,7,8,47,12.5
188,Alex Bogomolov Jr,Clay,104166,2,104166,12,14,178,14.29
189,Alex Bogomolov Jr,Grass,104166,11,104166,14,25,178,44.0
190,Alex Bogomolov Jr,Hard,104166,57,104166,82,139,178,41.01
191,Alex Bolt,Grass,106109,1,106109,4,5,29,20.0
192,Alex Bolt,Hard,106109,9,106109,15,24,29,37.5
193,Alex Calatrava,Clay,102231,46,102231,68,114,175,40.35
194,Alex Calatrava,Grass,102231,1,102231,6,7,175,14.29
195,Alex Calatrava,Hard,102231,22,102231,32,54,175,40.74
196,Alex Corretja,Carpet,102374,10,102374,24,34,723,29.41
197,Alex Corretja,Clay,102374,292,102374,149,441,723,66.21
198,Alex Corretja,Grass,102374,4,102374,7,11,723,36.36
199,Alex Corretja,Hard,102374,133,102374,104,237,723,56.12
200,Alex De Minaur,Clay,200282,2,200282,11,13,149,15.38
201,Alex De Minaur,Grass,200282,4,200282,6,10,149,40.0
202,Alex De Minaur,Hard,200282,83,200282,43,126,149,65.87
203,Alex Diaz,Hard,200274,2,200274,2,4,4,50.0
204,Alex Kim,Grass,103297,1,103297,2,3,30,33.33
205,Alex Kim,Hard,103297,7,103297,20,27,30,25.93
206,Alex Kurucz,Clay,109862,2,109862,10,12,12,16.67
207,Alex Kuznetsov,Clay,104864,1,104864,2,3,39,33.33
208,Alex Kuznetsov,Grass,104864,2,104864,6,8,39,25.0
209,Alex Kuznetsov,Hard,104864,6,104864,22,28,39,21.43
210,Alex Llompart,Hard,105541,6,105541,5,11,11,54.55
211,Alex Lopez Moron,Clay,101826,18,101826,31,49,49,36.73
212,Alex Mayer,Carpet,109841,8,109841,2,10,23,80.0
213,Alex Mayer,Hard,109841,10,109841,3,13,23,76.92
214,Alex Metreveli,Carpet,100092,34,100092,26,60,327,56.67
215,Alex Metreveli,Clay,100092,60,100092,35,95,327,63.16
216,Alex Metreveli,Grass,100092,92,100092,25,117,327,78.63
217,Alex Metreveli,Hard,100092,40,100092,15,55,327,72.73
218,Alex Obrien,Carpet,101711,8,101711,13,21,230,38.1
219,Alex Obrien,Clay,101711,10,101711,21,31,230,32.26
220,Alex Obrien,Grass,101711,13,101711,18,31,230,41.94
221,Alex Obrien,Hard,101711,63,101711,84,147,230,42.86
222,Alex Radulescu,Carpet,102491,7,102491,12,19,96,36.84
223,Alex Radulescu,Clay,102491,1,102491,7,8,96,12.5
224,Alex Radulescu,Grass,102491,10,102491,9,19,96,52.63
225,Alex Radulescu,Hard,102491,22,102491,28,50,96,44.0
226,Alex Stepanek,Clay,100941,2,100941,9,11,11,18.18
227,Alexandar Lazarov,Hard,200247,2,200247,4,6,6,33.33
228,Alexandar Lazov,Hard,105586,1,105586,4,5,5,20.0
229,Alexander Blom,Clay,104996,3,104996,5,8,17,37.5
230,Alexander Blom,Hard,104996,4,104996,5,9,17,44.44
231,Alexander Bublik,Clay,122330,5,122330,6,11,88,45.45
232,Alexander Bublik,Grass,122330,4,122330,4,8,88,50.0
233,Alexander Bublik,Hard,122330,35,122330,34,69,88,50.72
234,Alexander Donski,Hard,200574,1,200574,1,2,2,50.0
235,Alexander Kudryavtsev,Hard,104628,5,104628,12,17,17,29.41
236,Alexander Lehnhoff,Hard,108800,1,108800,3,4,4,25.0
237,Alexander Marcial,Clay,106491,2,106491,4,6,10,33.33
238,Alexander Marcial,Hard,106491,1,106491,3,4,10,25.0
239,Alexander Mronz,Carpet,101123,18,101123,24,42,169,42.86
240,Alexander Mronz,Clay,101123,7,101123,17,24,169,29.17
241,Alexander Mronz,Grass,101123,4,101123,7,11,169,36.36
242,Alexander Mronz,Hard,101123,33,101123,59,92,169,35.87
243,Alexander Peya,Carpet,103580,3,103580,4,7,73,42.86
244,Alexander Peya,Clay,103580,7,103580,17,24,73,29.17
245,Alexander Peya,Grass,103580,4,103580,15,19,73,21.05
246,Alexander Peya,Hard,103580,8,103580,15,23,73,34.78
247,Alexander Popp,Carpet,102880,1,102880,4,5,110,20.0
248,Alexander Popp,Clay,102880,5,102880,21,26,110,19.23
249,Alexander Popp,Grass,102880,24,102880,14,38,110,63.16
250,Alexander Popp,Hard,102880,15,102880,26,41,110,36.59
251,Alexander Reichel,Grass,101871,1,101871,1,2,8,50.0
252,Alexander Reichel,Hard,101871,2,101871,4,6,8,33.33
253,Alexander Sadecky,Clay,104967,1,104967,2,3,3,33.33
254,Alexander Sarkissian,Hard,105512,2,105512,3,5,5,40.0
255,Alexander Shvec,Carpet,102077,6,102077,3,9,20,66.67
256,Alexander Shvec,Clay,102077,1,102077,5,6,20,16.67
257,Alexander Shvec,Hard,102077,2,102077,3,5,20,40.0
258,Alexander Skrypko,Carpet,108657,1,108657,2,3,3,33.33
259,Alexander Tabares,Clay,102138,1,102138,1,2,2,50.0
260,Alexander Volkov,Carpet,101334,103,101334,75,178,562,57.87
261,Alexander Volkov,Clay,101334,38,101334,57,95,562,40.0
262,Alexander Volkov,Grass,101334,39,101334,28,67,562,58.21
263,Alexander Volkov,Hard,101334,125,101334,97,222,562,56.31
264,Alexander Waske,Carpet,102565,3,102565,4,7,92,42.86
265,Alexander Waske,Clay,102565,15,102565,29,44,92,34.09
266,Alexander Waske,Grass,102565,4,102565,11,15,92,26.67
267,Alexander Waske,Hard,102565,6,102565,20,26,92,23.08
268,Alexander Zverev,Clay,100644,77,100644,33,110,378,70.0
269,Alexander Zverev,Grass,100644,24,100644,14,38,378,63.16
270,Alexander Zverev,Hard,100644,150,100644,80,230,378,65.22
271,Alexander Zverev Sr,Clay,200630,11,200630,8,19,19,57.89
272,Alexandr Dolgopolov,Clay,105238,62,105238,64,126,423,49.21
273,Alexandr Dolgopolov,Grass,105238,23,105238,20,43,423,53.49
274,Alexandr Dolgopolov,Hard,105238,135,105238,119,254,423,53.15
275,Alexandre Hocevar,Grass,100892,1,100892,1,2,11,50.0
276,Alexandre Hocevar,Hard,100892,4,100892,5,9,11,44.44
277,Alexandre Muller,Hard,124186,1,124186,2,3,3,33.33
278,Alexandre Sidorenko,Clay,105098,2,105098,5,7,13,28.57
279,Alexandre Sidorenko,Hard,105098,2,105098,4,6,13,33.33
280,Alexandre Simoni,Clay,103397,4,103397,9,13,33,30.77
281,Alexandre Simoni,Grass,103397,1,103397,4,5,33,20.0
282,Alexandre Simoni,Hard,103397,5,103397,10,15,33,33.33
283,Alexandre Strambini,Clay,102584,1,102584,2,3,3,33.33
284,Alexandros Jakupovic,Clay,103891,5,103891,7,12,12,41.67
285,Alexei Popyrin,Clay,200615,1,200615,4,5,53,20.0
286,Alexei Popyrin,Grass,200615,1,200615,2,3,53,33.33
287,Alexei Popyrin,Hard,200615,21,200615,24,45,53,46.67
288,Alexey Kedryuk,Carpet,103612,1,103612,2,3,34,33.33
289,Alexey Kedryuk,Clay,103612,3,103612,1,4,34,75.0
290,Alexey Kedryuk,Hard,103612,18,103612,9,27,34,66.67
291,Alexey Vatutin,Clay,106072,2,106072,3,5,5,40.0
292,Alexis Hombrecher,Hard,101851,3,101851,3,6,6,50.0
293,Alfred Schwartz,Hard,209425,1,209425,1,2,2,50.0
294,Alfredo Vaz Pinto,Clay,110952,3,110952,10,13,13,23.08
295,Ali Hamadeh,Grass,102448,1,102448,1,2,19,50.0
296,Ali Hamadeh,Hard,102448,11,102448,6,17,19,64.71
297,Ali Kadhim,Hard,110819,2,110819,2,4,4,50.0
298,Ali Madani,Clay,106505,1,106505,5,6,6,16.67
299,Alistair Hunt,Carpet,102131,3,102131,2,5,29,60.0
300,Alistair Hunt,Clay,102131,1,102131,3,4,29,25.0
301,Alistair Hunt,Grass,102131,2,102131,1,3,29,66.67
302,Alistair Hunt,Hard,102131,6,102131,11,17,29,35.29
303,Aljaz Bedene,Clay,105379,53,105379,53,106,261,50.0
304,Aljaz Bedene,Grass,105379,11,105379,17,28,261,39.29
305,Aljaz Bedene,Hard,105379,58,105379,69,127,261,45.67
306,Alkis Papamichael,Clay,106506,1,106506,13,14,14,7.14
307,Allan McDonald,Clay,100234,2,100234,10,12,31,16.67
308,Allan McDonald,Grass,100234,5,100234,14,19,31,26.32
309,Allan Stone,Carpet,100105,27,100105,50,77,414,35.06
310,Allan Stone,Clay,100105,50,100105,50,100,414,50.0
311,Allan Stone,Grass,100105,72,100105,57,129,414,55.81
312,Allan Stone,Hard,100105,49,100105,59,108,414,45.37
313,Allen Belobrajdic,Hard,102862,1,102862,4,5,5,20.0
314,Alphonso Ochoa,Clay,109992,2,109992,1,3,3,66.67
315,Alti Vahkal,Carpet,108602,2,108602,3,5,5,40.0
316,Altug Celikbilek,Clay,123795,1,123795,1,2,12,50.0
317,Altug Celikbilek,Grass,123795,1,123795,1,2,12,50.0
318,Altug Celikbilek,Hard,123795,4,123795,4,8,12,50.0
319,Alun Jones,Hard,103553,4,103553,9,13,13,30.77
320,Alvaro Betancur,Clay,100198,32,100198,67,99,108,32.32
321,Alvaro Betancur,Hard,100198,1,100198,8,9,108,11.11
322,Alvaro Fillol,Carpet,100292,5,100292,12,17,117,29.41
323,Alvaro Fillol,Clay,100292,19,100292,57,76,117,25.0
324,Alvaro Fillol,Grass,100292,1,100292,4,5,117,20.0
325,Alvaro Fillol,Hard,100292,8,100292,11,19,117,42.11
326,Alvaro Jordan,Clay,100795,11,100795,10,21,33,52.38
327,Alvaro Jordan,Hard,100795,10,100795,2,12,33,83.33
328,Alvaro Pena,Clay,110274,1,110274,2,3,3,33.33
329,Alvin Gardiner,Carpet,100227,3,100227,4,7,116,42.86
330,Alvin Gardiner,Clay,100227,11,100227,30,41,116,26.83
331,Alvin Gardiner,Grass,100227,6,100227,29,35,116,17.14
332,Alvin Gardiner,Hard,100227,10,100227,23,33,116,30.3
333,Aly El Dawoudi,Clay,106510,6,106510,4,10,13,60.0
334,Aly El Dawoudi,Hard,106510,1,106510,2,3,13,33.33
335,Amer Delic,Clay,104025,2,104025,8,10,89,20.0
336,Amer Delic,Grass,104025,2,104025,6,8,89,25.0
337,Amer Delic,Hard,104025,29,104025,42,71,89,40.85
338,Americo Venero Montes,Clay,108585,2,108585,6,8,15,25.0
339,Americo Venero Montes,Hard,108585,5,108585,2,7,15,71.43
340,Amine Ahouda,Clay,144760,2,144760,4,6,6,33.33
341,Amir Hadad,Clay,103145,2,103145,3,5,14,40.0
342,Amir Hadad,Hard,103145,4,103145,5,9,14,44.44
343,Amir Weintraub,Clay,104804,3,104804,2,5,22,60.0
344,Amir Weintraub,Hard,104804,7,104804,10,17,22,41.18
345,Amit Naor,Hard,101380,3,101380,7,10,10,30.0
346,Amos Mansdorf,Carpet,101195,50,101195,46,96,542,52.08
347,Amos Mansdorf,Clay,101195,13,101195,35,48,542,27.08
348,Amos Mansdorf,Grass,101195,35,101195,26,61,542,57.38
349,Amos Mansdorf,Hard,101195,211,101195,126,337,542,62.61
350,Amro Ghoneim,Clay,102362,12,102362,15,27,27,44.44
351,Anand Amritraj,Carpet,100270,10,100270,34,44,258,22.73
352,Anand Amritraj,Clay,100270,32,100270,57,89,258,35.96
353,Anand Amritraj,Grass,100270,17,100270,27,44,258,38.64
354,Anand Amritraj,Hard,100270,29,100270,52,81,258,35.8
355,Anatoli Volkov,Clay,106517,2,106517,6,8,8,25.0
356,Anders Haseth,Carpet,110867,6,110867,3,9,16,66.67
357,Anders Haseth,Clay,110867,3,110867,4,7,16,42.86
358,Anders Jarryd,Carpet,100757,152,100757,74,226,658,67.26
359,Anders Jarryd,Clay,100757,92,100757,68,160,658,57.5
360,Anders Jarryd,Grass,100757,35,100757,30,65,658,53.85
361,Anders Jarryd,Hard,100757,118,100757,89,207,658,57.0
362,Andis Juska,Carpet,104557,8,104557,5,13,39,61.54
363,Andis Juska,Clay,104557,10,104557,10,20,39,50.0
364,Andis Juska,Hard,104557,1,104557,5,6,39,16.67
365,Andras Lanyi,Clay,101664,3,101664,5,8,12,37.5
366,Andras Lanyi,Hard,101664,2,101664,2,4,12,50.0
367,Andras Szikszai,Clay,110269,1,110269,2,3,3,33.33
368,Andre Agassi,Carpet,101736,72,101736,40,112,1147,64.29
369,Andre Agassi,Clay,101736,152,101736,57,209,1147,72.73
370,Andre Agassi,Grass,101736,50,101736,18,68,1147,73.53
371,Andre Agassi,Hard,101736,598,101736,160,758,1147,78.89
372,Andre Ghem,Clay,104007,2,104007,5,7,7,28.57
373,Andre Sa,Carpet,102987,4,102987,7,11,144,36.36
374,Andre Sa,Clay,102987,12,102987,31,43,144,27.91
375,Andre Sa,Grass,102987,10,102987,17,27,144,37.04
376,Andre Sa,Hard,102987,26,102987,37,63,144,41.27
377,Andre Zietsmann,Hard,100283,2,100283,7,9,9,22.22
378,Andrea Arnaboldi,Clay,105063,4,105063,8,12,12,33.33
379,Andrea Gaudenzi,Carpet,102247,10,102247,20,30,451,33.33
380,Andrea Gaudenzi,Clay,102247,167,102247,132,299,451,55.85
381,Andrea Gaudenzi,Grass,102247,1,102247,9,10,451,10.0
382,Andrea Gaudenzi,Hard,102247,42,102247,70,112,451,37.5
383,Andrea Pellegrino,Clay,126504,1,126504,1,2,2,50.0
384,Andrea Stoppini,Hard,103521,3,103521,6,9,9,33.33
385,Andreas Beck,Clay,104676,20,104676,35,55,107,36.36
386,Andreas Beck,Grass,104676,7,104676,7,14,107,50.0
387,Andreas Beck,Hard,104676,14,104676,24,38,107,36.84
388,Andreas Fikas,Clay,106527,4,106527,1,5,5,80.0
389,Andreas Haider Maurer,Clay,104890,24,104890,38,62,124,38.71
390,Andreas Haider Maurer,Grass,104890,4,104890,10,14,124,28.57
391,Andreas Haider Maurer,Hard,104890,17,104890,31,48,124,35.42
392,Andreas Lesch,Clay,101217,1,101217,2,3,3,33.33
393,Andreas Maurer,Carpet,100530,2,100530,14,16,260,12.5
394,Andreas Maurer,Clay,100530,90,100530,99,189,260,47.62
395,Andreas Maurer,Grass,100530,14,100530,14,28,260,50.0
396,Andreas Maurer,Hard,100530,10,100530,17,27,260,37.04
397,Andreas Seppi,Carpet,104312,4,104312,10,14,784,28.57
398,Andreas Seppi,Clay,104312,131,104312,133,264,784,49.62
399,Andreas Seppi,Grass,104312,60,104312,46,106,784,56.6
400,Andreas Seppi,Hard,104312,184,104312,216,400,784,46.0
401,Andreas Vinciguerra,Carpet,103714,6,103714,7,13,190,46.15
402,Andreas Vinciguerra,Clay,103714,31,103714,40,71,190,43.66
403,Andreas Vinciguerra,Grass,103714,2,103714,5,7,190,28.57
404,Andreas Vinciguerra,Hard,103714,48,103714,51,99,190,48.48
405,Andrei Cherkasov,Carpet,101772,47,101772,49,96,398,48.96
406,Andrei Cherkasov,Clay,101772,76,101772,83,159,398,47.8
407,Andrei Cherkasov,Hard,101772,70,101772,73,143,398,48.95
408,Andrei Chesnokov,Carpet,101230,43,101230,51,94,608,45.74
409,Andrei Chesnokov,Clay,101230,170,101230,95,265,608,64.15
410,Andrei Chesnokov,Grass,101230,6,101230,16,22,608,27.27
411,Andrei Chesnokov,Hard,101230,129,101230,98,227,608,56.83
